测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1037-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1021']/table/tbody/tr[6]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
品牌名称输入框,ById,bname-inputEl
车型名称输入框,ById,mname-inputEl
创建时间起点输入框,ById,fromTime-inputEl
创建时间终点输入框,ById,toTime-inputEl
检索按钮,ById,button-1011-btnEl
第一页确定按钮,ById,gotoBomPage-btnEl
第一页刷新按钮,ById,button-1038
第一页按钮,ById,button-1024-btnEl
上一页按钮,ById,button-1025-btnEl
下一页按钮,ById,button-1031-btnEl
最后页按钮,ById,button-1032-btnEl
页码显示及输入框,ById,numberfield-1028-inputEl
页码总数显示,ById,tbtext-1029
换页载入界面,ById,loadmask-1041
快速提示信息,ById,ext-quicktips-tip
,,
检索结果所有行,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr
检索结果表格,ByXPath,.//*[@id='gridview-1023']/table/tbody
检索结果第一行品牌中文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[2]/div
检索结果第一行品牌英文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[3]/div
检索结果第一行车型中文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[4]/div
检索结果第一行车型英文名称,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[5]/div
检索结果第一行整车质量,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[6]/div
检索结果第一行生产年份,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[7]/div
检索结果第一行长,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[8]/div
检索结果第一行宽,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[9]/div
检索结果第一行高,ByXPath,.//*[@id='gridview-1023']/table/tbody/tr[2]/td[10]/div
开始时间早于结束时间错误信息,ById,messagebox-1001-displayfield-inputEl
,,
,,
树形图第一个根节点,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div
第二页自动标注按钮,ById,autoMark-btnEl
第二页取消标注按钮,ById,removeMark-btnEl
第二页清空标注按钮,ById,deleteMark-btnEl
第二页返回按钮,ById,button-1011-btnEl
第二页校验按钮,ById,validation-btnEl
第二页双选弹窗是按钮,ById,button-1006
第二页双选弹窗否按钮,ById,button-1007
第二页弹窗提示信息,ById,messagebox-1001-displayfield-inputEl
第二页单选弹窗确认按钮,ById,button-1005-btnEl
,,
,,
BOM树中标注锁定选项,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[6]/td/div
BOM树形刷新按钮,ById,button-1021-btnEl
BOM树形展开按钮,ById,expandAllTree-btnEl
BOM树形关闭按钮,ById,button-1022-btnEl
BOM树形前方加号按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/img[1]
BOM树形前方减号按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/img[1]
